PassengerId,Survived,Pclass,Sex,Age,Sibilings or spouse,Parents or Children,Fare,Embarked
609,1,2,female,Adult,1,2,41.58,France
610,1,1,female,Middle-aged,0,0,153.46,England
611,0,3,female,Middle-aged,1,5,31.28,England
612,0,3,male,Adult,0,0,7.05,England
613,1,3,female,Adult,1,0,15.5,Ireland
614,0,3,male,Adult,0,0,7.75,Ireland
615,0,3,male,Adult,0,0,8.05,England
616,1,2,female,Adult,1,2,65.0,England
617,0,3,male,Adult,1,1,14.4,England
618,0,3,female,Adult,1,0,16.1,England
619,1,2,female,Child,2,1,39.0,England
620,0,2,male,Adult,0,0,10.5,England
621,0,3,male,Adult,1,0,14.45,France
622,1,1,male,Middle-aged,1,0,52.55,England
623,1,3,male,Adult,1,1,15.74,France
624,0,3,male,Adult,0,0,7.85,England
625,0,3,male,Adult,0,0,16.1,England
626,0,1,male,Senior,0,0,32.32,England
627,0,2,male,Middle-aged,0,0,12.35,Ireland
628,1,1,female,Adult,0,0,77.96,England
629,0,3,male,Adult,0,0,7.9,England
630,0,3,male,Adult,0,0,7.73,Ireland
631,1,1,male,Senior,0,0,30.0,England
632,0,3,male,Middle-aged,0,0,7.05,England
633,1,1,male,Adult,0,0,30.5,France
634,0,1,male,Adult,0,0,0.0,England
635,0,3,female,Child,3,2,27.9,England
636,1,2,female,Adult,0,0,13.0,England
637,0,3,male,Adult,0,0,7.93,England
638,0,2,male,Adult,1,1,26.25,England
639,0,3,female,Middle-aged,0,5,39.69,England
640,0,3,male,Adult,1,0,16.1,England
641,0,3,male,Adult,0,0,7.85,England
642,1,1,female,Adult,0,0,69.3,France
643,0,3,female,Child,3,2,27.9,England
644,1,3,male,Adult,0,0,56.5,England
645,1,3,female,Infant,2,1,19.26,France
646,1,1,male,Middle-aged,1,0,76.73,France
647,0,3,male,Adult,0,0,7.9,England
648,1,1,male,Middle-aged,0,0,35.5,France
649,0,3,male,Adult,0,0,7.55,England
650,1,3,female,Adult,0,0,7.55,England
651,0,3,male,Adult,0,0,7.9,England
652,1,2,female,Teen,0,1,23.0,England
653,0,3,male,Adult,0,0,8.43,England
654,1,3,female,Adult,0,0,7.83,Ireland
655,0,3,female,Teen,0,0,6.75,Ireland
656,0,2,male,Adult,2,0,73.5,England
657,0,3,male,Adult,0,0,7.9,England
658,0,3,female,Adult,1,1,15.5,Ireland
659,0,2,male,Adult,0,0,13.0,England
660,0,1,male,Middle-aged,0,2,113.28,France
661,1,1,male,Middle-aged,2,0,133.65,England
662,0,3,male,Middle-aged,0,0,7.23,France
663,0,1,male,Middle-aged,0,0,25.59,England
664,0,3,male,Middle-aged,0,0,7.5,England
665,1,3,male,Adult,1,0,7.93,England
666,0,2,male,Adult,2,0,73.5,England
667,0,2,male,Adult,0,0,13.0,England
668,0,3,male,Adult,0,0,7.78,England
669,0,3,male,Middle-aged,0,0,8.05,England
670,1,1,female,Adult,1,0,52.0,England
671,1,2,female,Middle-aged,1,1,39.0,England
672,0,1,male,Adult,1,0,52.0,England
673,0,2,male,Senior,0,0,10.5,England
674,1,2,male,Adult,0,0,13.0,England
675,0,2,male,Adult,0,0,0.0,England
676,0,3,male,Teen,0,0,7.78,England
677,0,3,male,Adult,0,0,8.05,England
678,1,3,female,Teen,0,0,9.84,England
679,0,3,female,Middle-aged,1,6,46.9,England
680,1,1,male,Middle-aged,0,1,512.33,France
681,0,3,female,Adult,0,0,8.14,Ireland
682,1,1,male,Adult,0,0,76.73,France
683,0,3,male,Adult,0,0,9.23,England
684,0,3,male,Teen,5,2,46.9,England
685,0,2,male,Middle-aged,1,1,39.0,England
686,0,2,male,Adult,1,2,41.58,France
687,0,3,male,Teen,4,1,39.69,England
688,0,3,male,Adult,0,0,10.17,England
689,0,3,male,Teen,0,0,7.8,England
690,1,1,female,Teen,0,1,211.34,England
691,1,1,male,Adult,1,0,57.0,England
692,1,3,female,Child,0,1,13.42,France
693,1,3,male,Adult,0,0,56.5,England
694,0,3,male,Adult,0,0,7.23,France
695,0,1,male,Middle-aged,0,0,26.55,England
696,0,2,male,Middle-aged,0,0,13.5,England
697,0,3,male,Middle-aged,0,0,8.05,England
698,1,3,female,Adult,0,0,7.73,Ireland
699,0,1,male,Middle-aged,1,1,110.88,France
700,0,3,male,Middle-aged,0,0,7.65,England
701,1,1,female,Teen,1,0,227.53,France
702,1,1,male,Adult,0,0,26.29,England
703,0,3,female,Teen,0,1,14.45,France
704,0,3,male,Adult,0,0,7.74,Ireland
705,0,3,male,Adult,1,0,7.85,England
706,0,2,male,Middle-aged,0,0,26.0,England
707,1,2,female,Middle-aged,0,0,13.5,England
708,1,1,male,Middle-aged,0,0,26.29,England
709,1,1,female,Adult,0,0,151.55,England
710,1,3,male,Adult,1,1,15.25,France
711,1,1,female,Adult,0,0,49.5,France
712,0,1,male,Adult,0,0,26.55,England
713,1,1,male,Middle-aged,1,0,52.0,England
714,0,3,male,Adult,0,0,9.48,England
715,0,2,male,Middle-aged,0,0,13.0,England
716,0,3,male,Adult,0,0,7.65,England
717,1,1,female,Middle-aged,0,0,227.53,France
718,1,2,female,Adult,0,0,10.5,England
719,0,3,male,Adult,0,0,15.5,Ireland
720,0,3,male,Adult,0,0,7.78,England
721,1,2,female,Child,0,1,33.0,England
722,0,3,male,Teen,1,0,7.05,England
723,0,2,male,Adult,0,0,13.0,England
724,0,2,male,Middle-aged,0,0,13.0,England
725,1,1,male,Adult,1,0,53.1,England
726,0,3,male,Adult,0,0,8.66,England
727,1,2,female,Adult,3,0,21.0,England
728,1,3,female,Adult,0,0,7.74,Ireland
729,0,2,male,Adult,1,0,26.0,England
730,0,3,female,Adult,1,0,7.93,England
731,1,1,female,Adult,0,0,211.34,England
732,0,3,male,Child,0,0,18.79,France
733,0,2,male,Adult,0,0,0.0,England
734,0,2,male,Adult,0,0,13.0,England
735,0,2,male,Adult,0,0,13.0,England
736,0,3,male,Adult,0,0,16.1,England
737,0,3,female,Middle-aged,1,3,34.38,England
738,1,1,male,Adult,0,0,512.33,France
739,0,3,male,Adult,0,0,7.9,England
740,0,3,male,Adult,0,0,7.9,England
741,1,1,male,Adult,0,0,30.0,England
742,0,1,male,Middle-aged,1,0,78.85,England
743,1,1,female,Adult,2,2,262.38,France
744,0,3,male,Adult,1,0,16.1,England
745,1,3,male,Adult,0,0,7.93,England
746,0,1,male,Senior,1,1,71.0,England
747,0,3,male,Teen,1,1,20.25,England
748,1,2,female,Adult,0,0,13.0,England
749,0,1,male,Adult,1,0,53.1,England
750,0,3,male,Adult,0,0,7.75,Ireland
751,1,2,female,Child,1,1,23.0,England
752,1,3,male,Child,0,1,12.48,England
753,0,3,male,Adult,0,0,9.5,England
754,0,3,male,Adult,0,0,7.9,England
755,1,2,female,Middle-aged,1,2,65.0,England
756,1,2,male,Infant,1,1,14.5,England
757,0,3,male,Adult,0,0,7.8,England
758,0,2,male,Teen,0,0,11.5,England
759,0,3,male,Adult,0,0,8.05,England
760,1,1,female,Adult,0,0,86.5,England
761,0,3,male,Adult,0,0,14.5,England
762,0,3,male,Middle-aged,0,0,7.13,England
763,1,3,male,Adult,0,0,7.23,France
764,1,1,female,Middle-aged,1,2,120.0,England
765,0,3,male,Teen,0,0,7.78,England
766,1,1,female,Middle-aged,1,0,77.96,England
767,0,1,male,Adult,0,0,39.6,France
768,0,3,female,Adult,0,0,7.75,Ireland
769,0,3,male,Adult,1,0,24.15,Ireland
770,0,3,male,Adult,0,0,8.36,England
771,0,3,male,Adult,0,0,9.5,England
772,0,3,male,Middle-aged,0,0,7.85,England
773,0,2,female,Middle-aged,0,0,10.5,England
774,0,3,male,Adult,0,0,7.23,France
775,1,2,female,Middle-aged,1,3,23.0,England
776,0,3,male,Teen,0,0,7.75,England
777,0,3,male,Adult,0,0,7.75,Ireland
778,1,3,female,Child,0,0,12.48,England
779,0,3,male,Adult,0,0,7.74,Ireland
780,1,1,female,Middle-aged,0,1,211.34,England
781,1,3,female,Teen,0,0,7.23,France
782,1,1,female,Teen,1,0,57.0,England
783,0,1,male,Adult,0,0,30.0,England
784,0,3,male,Adult,1,2,23.45,England
785,0,3,male,Adult,0,0,7.05,England
786,0,3,male,Adult,0,0,7.25,England
787,1,3,female,Teen,0,0,7.5,England
788,0,3,male,Child,4,1,29.13,Ireland
789,1,3,male,Infant,1,2,20.58,England
790,0,1,male,Middle-aged,0,0,79.2,France
791,0,3,male,Adult,0,0,7.75,Ireland
792,0,2,male,Teen,0,0,26.0,England
793,0,3,female,Adult,8,2,69.55,England
794,0,1,male,Adult,0,0,30.7,France
795,0,3,male,Adult,0,0,7.9,England
796,0,2,male,Middle-aged,0,0,13.0,England
797,1,1,female,Middle-aged,0,0,25.93,England
798,1,3,female,Adult,0,0,8.68,England
799,0,3,male,Adult,0,0,7.23,France
800,0,3,female,Adult,1,1,24.15,England
801,0,2,male,Adult,0,0,13.0,England
802,1,2,female,Adult,1,1,26.25,England
803,1,1,male,Child,1,2,120.0,England
804,1,3,male,Infant,0,1,8.52,France
805,1,3,male,Adult,0,0,6.98,England
806,0,3,male,Adult,0,0,7.78,England
807,0,1,male,Middle-aged,0,0,0.0,England
808,0,3,female,Teen,0,0,7.78,England
809,0,2,male,Middle-aged,0,0,13.0,England
810,1,1,female,Adult,1,0,53.1,England
811,0,3,male,Adult,0,0,7.89,England
812,0,3,male,Middle-aged,0,0,24.15,England
813,0,2,male,Adult,0,0,10.5,England
814,0,3,female,Child,4,2,31.28,England
815,0,3,male,Adult,0,0,8.05,England
816,0,1,male,Adult,0,0,0.0,England
817,0,3,female,Adult,0,0,7.93,England
818,0,2,male,Adult,1,1,37.0,France
819,0,3,male,Middle-aged,0,0,6.45,England
820,0,3,male,Child,3,2,27.9,England
821,1,1,female,Middle-aged,1,1,93.5,England
822,1,3,male,Adult,0,0,8.66,England
823,0,1,male,Middle-aged,0,0,0.0,England
824,1,3,female,Adult,0,1,12.48,England
825,0,3,male,Child,4,1,39.69,England
826,0,3,male,Adult,0,0,6.95,Ireland
827,0,3,male,Adult,0,0,56.5,England
828,1,2,male,Infant,0,2,37.0,France
829,1,3,male,Adult,0,0,7.75,Ireland
830,1,1,female,Senior,0,0,80.0,
831,1,3,female,Teen,1,0,14.45,France
832,1,2,male,Infant,1,1,18.75,England
833,0,3,male,Adult,0,0,7.23,France
834,0,3,male,Adult,0,0,7.85,England
835,0,3,male,Teen,0,0,8.3,England
836,1,1,female,Middle-aged,1,1,83.16,France
837,0,3,male,Adult,0,0,8.66,England
838,0,3,male,Adult,0,0,8.05,England
839,1,3,male,Adult,0,0,56.5,England
840,1,1,male,Adult,0,0,29.7,France
841,0,3,male,Adult,0,0,7.93,England
842,0,2,male,Teen,0,0,10.5,England
843,1,1,female,Adult,0,0,31.0,France
844,0,3,male,Adult,0,0,6.44,France
845,0,3,male,Teen,0,0,8.66,England
846,0,3,male,Middle-aged,0,0,7.55,England
847,0,3,male,Adult,8,2,69.55,England
848,0,3,male,Adult,0,0,7.9,France
849,0,2,male,Adult,0,1,33.0,England
850,1,1,female,Adult,1,0,89.1,France
851,0,3,male,Child,4,2,31.28,England
852,0,3,male,Senior,0,0,7.78,England
853,0,3,female,Child,1,1,15.25,France
854,1,1,female,Teen,0,1,39.4,England
855,0,2,female,Middle-aged,1,0,26.0,England
856,1,3,female,Teen,0,1,9.35,England
857,1,1,female,Middle-aged,1,1,164.87,England
858,1,1,male,Middle-aged,0,0,26.55,England
859,1,3,female,Adult,0,3,19.26,France
860,0,3,male,Adult,0,0,7.23,France
861,0,3,male,Middle-aged,2,0,14.11,England
862,0,2,male,Adult,1,0,11.5,England
863,1,1,female,Middle-aged,0,0,25.93,England
864,0,3,female,Adult,8,2,69.55,England
865,0,2,male,Adult,0,0,13.0,England
866,1,2,female,Middle-aged,0,0,13.0,England
867,1,2,female,Adult,1,0,13.86,France
868,0,1,male,Adult,0,0,50.5,England
869,0,3,male,Adult,0,0,9.5,England
870,1,3,male,Child,1,1,11.13,England
871,0,3,male,Adult,0,0,7.9,England
872,1,1,female,Middle-aged,1,1,52.55,England
873,0,1,male,Adult,0,0,5.0,England
874,0,3,male,Middle-aged,0,0,9.0,England
875,1,2,female,Adult,1,0,24.0,France
876,1,3,female,Teen,0,0,7.23,France
877,0,3,male,Adult,0,0,9.85,England
878,0,3,male,Adult,0,0,7.9,England
879,0,3,male,Adult,0,0,7.9,England
880,1,1,female,Middle-aged,0,1,83.16,France
881,1,2,female,Adult,0,1,26.0,England
882,0,3,male,Adult,0,0,7.9,England
883,0,3,female,Adult,0,0,10.52,England
884,0,2,male,Adult,0,0,10.5,England
885,0,3,male,Adult,0,0,7.05,England
886,0,3,female,Middle-aged,0,5,29.13,Ireland
887,0,2,male,Adult,0,0,13.0,England
888,1,1,female,Adult,0,0,30.0,England
889,0,3,female,Adult,1,2,23.45,England
890,1,1,male,Adult,0,0,30.0,France
891,0,3,male,Adult,0,0,7.75,Ireland
